Rule	Text
1.0.	Game Concepts
1.0.	General
1.0.1.	The rules in this document apply to any game of Flesh and Blood.
1.0.1a	If an effect directly contradicts a rule contained in this document, the effect supersedes that rule.
1.0.1b	If a tournament rule contradicts a rule contained in this document or an effect, the tournament rule supersedes that rule or that effect.
1.0.2.	A rule or effect that states something can not happen takes precedence over any rule and/or effect that states that something can happen, subject to Rule 1.0.1a. Example: If one effect reads “You can’t play cards from your banished zone.” and another effect reads “You may play cards from your banished zone.”, the former effect takes precedence and the player can not play cards from their banished zone.
1.0.2a	A rule or effect that states that “only” something can happen, is functionally equivalent to a rule or effect that states everything else can not happen. Example: Three of a Kind has the text “[...] you may only play cards from arsenal.”, which is equivalent to “you can not play cards from anywhere other than arsenal.”. Even if an effect would allow you to play a card from your banished zone, you would not be able to play that card from the banished zone because of the effect generated by Three of a Kind.
1.1.	Players
1.1.1.	A player is a person participating in the game.
1.1.1a	To participate, a person must have a hero, a deck, a way to represent any tokens and counters that could be created by effects in their deck, a play-space, and a method to record life totals.
1.1.2.	A player’s hero is a hero card.
1.1.2a	This document distinguishes the player as the person participating in the game and the hero as the hero card of a player.
1.1.2b	A player plays the game as their hero and Card text makes no distinction between the player and their hero, identifying both identically; the term “you” refers to the player’s hero and the term “opponent” refers to the player’s opponent’s hero.
1.1.3.	A player’s deck is a collection of non-hero cards. A card can only be included in a player’s deck if the card’s supertypes are a subset of their hero’s supertypes. (See Section 2.10 - Supertypes) Example: If the hero card is Boltyn (supertypes of “Light” and “Warrior”), the deck can only include cards with the supertypes of “Light Warrior”, “Light”, “Warrior”, and cards with no supertypes (“Generic”).
1.1.3a	If an effect allows a player to start the game with one or more cards with supertypes that are not a subset of their hero’s supertypes, those cards may be included in their deck as long as they start the game as specified by the effect.
1.1.3b	A player’s inventory is a collection of equipment and weapon cards in the player’s deck.
1.1.4.	A player’s play-space is an area for designated zones owned by (and shared with) the player. (See Chapter 3 - Zones)
1.1.5.	In a game, a player’s opponents include all other players.
1.1.6.	Clockwise order is the order of players starting from the given player and progressing clockwise among the players when viewed from above. The next player in clockwise order is the player to the left of the given player.
1.2.	Objects
1.2.1.	An object is a card, token, macro, or layer in the game.
1.2.2.	A permanent is a card or token in the arena that is designated as a permanent by a rule or effect.
1.2.2a	A permanent remains a permanent until it leaves the arena.
1.2.3.	Objects have one or more properties. (See Chapter 2 - Object Properties)
1.2.4.	An object has one or more object identities that can be referred to. Rules in this document and effects typically describe objects using their object identity as the noun. Example: Lunging Press has the text “Target attack action card gains +1{p}.”, which identifies the target of the effect, using the “card” object identity as the noun.
1.2.4a	An object has the object identity “object”.
1.2.4b	An object with a name property and/or moniker has the object identity of that name and/or moniker. (See Section 2.6 - Name) Example: Dorinthea, Quicksilver Prodigy has the text “The first time Dawnblade, Resplendent gains go again each turn, [...]”, which identifies an object using the name “Dawnblade, Resplendent” as an object identity.
1.2.4c	A card or token has the object identity of its types and subtypes, except for the subtype attack. Example: Ironsong Determination has the text “Target weapon gains +1{p} and dominate until end of turn.”, which identifies an object using the type “weapon” as an object identity.
1.2.4d	A card with the subtype attack on the stack, an attack-layer, or an attacking object has the object identity “attack”. (See Rule 7.0.2) Example: Oath of the Arknight has the text “Your next Runeblade attack this turn gains +3{p}.”, which identifies either a Runeblade attack action card on the stack, or attack- layer created by a Runeblade source, or an attacking Runeblade object; using “attack” as an object identity.
1.2.4e	A card has the object identity “card”.
1.2.4f	A token has the object identity “token”.
1.2.4g	An activated-layer has the object identity “activated ability”.
1.2.4h	A triggered-layer has the object identity “triggered effect”.
1.2.5.	Last known information (LKI) about an object is a snapshot of the state of an object immediately before it ceased to exist.
1.2.5a	If rule or effect requires information about a specific object that no longer exists, instead it uses last known information about that object to fulfill that requirement. Otherwise, if a rule or effect does not specifically refer to that object, last known information is not used. Example: Endless Arrow has the text “When Endless Arrow hits, put it into your hand.”. If Endless Arrow hits, it is put into the player’s hand. The chain link of Endless Arrow then holds the last known information about Endless Arrow, so that if it had the ability “go again” before it was put into hand the player would still gain an action point when the link step begins.
1.2.5b	Last known information about an object includes all parameters, history, and effects applicable to that object at the time it still existed.
