Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
kGgpBMLWjk7PqDL9QRmqN	9bQFfTFGQWJFWrcJnfQgz	Drone of Brutality	1	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
gpFfnRb7phWTjm88NBMtt	Nhmj8MBNCmWFC68JkhkNC	Drone of Brutality	2	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
TLLHpCcMRrjcNPrqjMLhP	hJt6FwT8mhQbcWQLzgHMT	Drone of Brutality	3	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
PfrhhnQHPLhn9HgMbr7Ff	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
RhrwBJrTDL6gjtdRKnctD	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
jGQkPwLLjpHPJdnPqt9KR	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
gcjmrhrRcrpGBRg7mwcpt	HkDzFgnhCBGn6K9w7RWtC	Duskblade		Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
gWDzwMKwdwchQfdTdWjPz	TJdbQPDBpnLGpNmmN7fhg	Ball Lightning	1	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
P7h9KBt6hGPQPtwqT9Qpn	w77m97tB9GPDzK6ccgkjr	Ball Lightning	2	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
gGfpFgzz6LHpw6hnc6MkM	QnKbrhtk7HFcckCBbFmkt	Ball Lightning	3	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
