Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
rJwrR6BLCFfhrtHC8WnBT	9bQFfTFGQWJFWrcJnfQgz	Drone of Brutality	1	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
DrNzmFfHWRKmdkkB6BqBC	Nhmj8MBNCmWFC68JkhkNC	Drone of Brutality	2	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
FKCcJfChmrMjtKtQkh6Gm	hJt6FwT8mhQbcWQLzgHMT	Drone of Brutality	3	Yes	2021-03-18T00:00:00.000Z	2021-03-26T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement/
tF6j9KMpJLc8NNGTfRDhW	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
MJ7wpFt8JKRPhM8PwPJLh	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
JzdzHnKwC6CgPfkWfMFdF	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
Pn9DPDTCfTQ8HwmmMLkkp	HkDzFgnhCBGn6K9w7RWtC	Duskblade		Yes	2021-09-21T00:00:00.000Z	2021-09-24T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-sept21/
k7g8jzTnkQrCmt76zTGCN	TJdbQPDBpnLGpNmmN7fhg	Ball Lightning	1	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
zRLrqDjPLdrTCpR6nnrDr	w77m97tB9GPDzK6ccgkjr	Ball Lightning	2	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
kpQDh6tgtqrjTRqTG8HrD	QnKbrhtk7HFcckCBbFmkt	Ball Lightning	3	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
bKJkzrpJCbqpWjPhnWBjp	fwF67FGHHq7rCKdPRz77f	Plunder Run	1	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
rjd8MmHCQBNpzTpt8m7qg	7MGt8wLQqdFk9F8LBQnD9	Plunder Run	2	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
MBzRRjwkk69mP7QRqTjHP	rpFFbrjQdDFGHgtwmjqKP	Plunder Run	3	Yes	2022-01-12T00:00:00.000Z	2022-01-17T00:00:00.000Z	https://fabtcg.com/articles/banned-and-restricted-announcement-errata-bulletin/
DG6cgHD8RPBHNjJbtgDDW	phCFwdjG8dKDCmr7d7F7M	Awakening	3	Yes	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
68mQrCMGrHRczphBzLJw6	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	No	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
HJPPDQHbRhCK7K8gNCKTQ	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	No	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
MfCwKjK7TgkjgzKwLbhGL	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	No	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
mMwPKNHLrHTGPrRjDbhMm	wj7qpMrzMjDbn8tmtfPL7	Stubby Hammerers		Yes	2022-07-29T00:00:00.000Z	2022-08-01T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-announcement/
8RwmqhJhBzMLDzTJfgzzt	rDLHG8PWgWpbJ87hRd6fD	Pulse of Isenloft	3	Yes	2022-10-03T00:00:00.000Z	2022-10-07T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-oct-3/
nkHRGmPj7MrHKtjBqtrnn	CtgLqKpjrGRtLnwbHjd9f	Belittle	1	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	https://fabtcg.com/articles/banned-and-suspended-announcement/
Lz9wmwLrQ7FRHNtLkN88j	8b9Fj6hL8WbNF6zDgzJFp	Belittle	2	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	https://fabtcg.com/articles/banned-and-suspended-announcement/
nhW6jpJtd8wqHR8gbk7HP	dgBTMrWQ8F7gTCt6m7ngM	Belittle	3	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	https://fabtcg.com/articles/banned-and-suspended-announcement/
bHNrwtrt9mgWTp7cQGRJQ	pCdJMzmgBMD8Mt8qhM7nC	Winter's Wail		Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	https://fabtcg.com/articles/banned-and-suspended-announcement/
8K8KdnWcPFkz9GGFCkWTR	FLfrm7mBczWhFLBTKmBgJ	Bull's Eye Bracers		Yes	2023-07-03T00:00:00.000Z	2023-07-07T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-july-3/
BJh6gNL8MfQ7WD9jGBMrn	rDLHG8PWgWpbJ87hRd6fD	Pulse of Isenloft	3	No	2023-07-03T00:00:00.000Z	2023-07-07T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-july-3/
qTHFTNDn8z67hNwQm6JPJ	nGHhHDgKmGgb7gjwWjHJF	Bloodsheath Skeleta		Yes	2023-07-03T00:00:00.000Z	2023-07-07T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-july-3/
nMnpzDTtGPPTnPRwRgH9p	FLfrm7mBczWhFLBTKmBgJ	Bull's Eye Bracers		No	2023-09-18T00:00:00.000Z	2023-09-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-sep19-23/
J8NPqzgKbjM8pDnDcWBQr	mGqzLzjTgNjr7qJGMTjtW	Berserk	2	Yes	2024-03-25T00:00:00.000Z	2024-03-25T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-25-3-24/
hRLfNhLJ6Jp8MgjNCG67T	Lbp8pFhph9wMqMHDw8JWq	Crown of Seeds		Yes	2024-03-25T00:00:00.000Z	2024-03-25T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-25-3-24/
