Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
CfphcMMWBJ7zBT8gmzQh8	TJdbQPDBpnLGpNmmN7fhg	Ball Lightning	1	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
d7QNwTdTdG8KqzRmbgMNF	w77m97tB9GPDzK6ccgkjr	Ball Lightning	2	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
mjqhNDNK7g9GNfmj8FFgf	QnKbrhtk7HFcckCBbFmkt	Ball Lightning	3	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
BDtfTGJHRJ9kpHNTzBfJJ	CtgLqKpjrGRtLnwbHjd9f	Belittle	1	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
pkQKWqTWJPWWMbF9m9BBz	8b9Fj6hL8WbNF6zDgzJFp	Belittle	2	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
wzPt9HMdDDDbt9PKdzktd	dgBTMrWQ8F7gTCt6m7ngM	Belittle	3	Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
n8trKdDPp8BLN9QHWcDMC	t6MkmHjPRNghmMcMQbqch	Amulet of Ice	3	Yes	2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
bWFnQTLBhHBQfb9rmGJFp	wj7qpMrzMjDbn8tmtfPL7	Stubby Hammerers		Yes	2023-12-18T00:00:00.000Z	2023-12-22T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
RNHfpPfw8MC8RptftQb7k	wd9TtjtPGfbWKQPprJfj9	Aether Ironweave		Yes	2024-11-11T00:00:00.000Z	2024-11-11T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-11-11-24/
HTr7nfTpgFrHDtzD6KC6H	cbHrfwmLrMjWdhdBtzbff	Rosetta Thorn		Yes	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
WPkQK6LTBfHThtNmGBw7B	kzzwCj8LJwfMf9MTntgtt	Waning Moon		Yes	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
WqCLngN9QDF9WLNQqwpFH	DC8RfMDzMnthBkWJgmWpQ	Zephyr Needle		Yes	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
6RPkmwWKKWKHfQcMPdpNd	TJdbQPDBpnLGpNmmN7fhg	Ball Lightning	1	No	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
p8Rz7wwPk9gTMW67kFWWF	w77m97tB9GPDzK6ccgkjr	Ball Lightning	2	No	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
Pt9wPB7nbjDTgLDtrw9Ct	QnKbrhtk7HFcckCBbFmkt	Ball Lightning	3	No	2025-03-04T00:00:00.000Z	2025-03-04T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-04-03-25/
9qPmRcPjwcWFN6ffnckGH	T8JJgk7GLGpcDQWWN9RH7	Reality Refractor		Yes	2025-05-19T00:00:00.000Z	2025-05-20T00:00:00.000Z	https://fabtcg.com/en/articles/scheduled-banned-and-restricted-announcement-19-05-25/
