Front Card Printing Unique ID	Front Card Name	Front Card Printing	Back Card Printing Unique ID	Back Card Name	Back Card Printing	Is DFC		
QMtJWfnNCfFRmcKNWMWf6	Bloodrot Pox	ARA027 – N	PPmNz6gjrQzpMNjmmHtJN	Frailty	ARA028 – N	No		
PPmNz6gjrQzpMNjmmHtJN	Frailty	ARA028 – N	P9MJrhFJbhwFrnfggb9GT	Inertia	ARA029 – N	No		
P9MJrhFJbhwFrnfggb9GT	Inertia	ARA029 – N	QMtJWfnNCfFRmcKNWMWf6	Bloodrot Pox	ARA027 – N	No		
TkqJLhWpbm9F67RtGhgLH	Dash, Inventor Extraordinaire	ARC001 – F	rDdghQjpzfDhnTWt8JWzN	Dash	ARC002 – F	No		
TkWJLCDLgGHmmGHrKndnQ	Dash, Inventor Extraordinaire	ARC001 – U	Cj6C9tJQnD8KpghLCzb7P	Dash	ARC002 – U	No		
rDdghQjpzfDhnTWt8JWzN	Dash	ARC002 – F	MdGhh8KCtJwpwhGHdTHfR	Azalea	ARC039 – F	No		
rDdghQjpzfDhnTWt8JWzN	Dash	ARC002 – F	LkQ6G69thbCGftgdBLkJm	Death Dealer	ARC040 – F	No		
rDdghQjpzfDhnTWt8JWzN	Dash	ARC002 – F	wcmNtbBPhjnFwPq7RJndM	Crucible of Aetherweave	ARC115 – F	No		
Cj6C9tJQnD8KpghLCzb7P	Dash	ARC002 – U	HGdFkn9r8w7HWjMDwnNdW	Azalea	ARC039 – U	No		
Cj6C9tJQnD8KpghLCzb7P	Dash	ARC002 – U	WJL6WRTMqTnCdJfHqrhDR	Death Dealer	ARC040 – U	No		
Cj6C9tJQnD8KpghLCzb7P	Dash	ARC002 – U	6b9cJFLbNMRbcLtpJwTWm	Crucible of Aetherweave	ARC115 – U	No		
bdJDJnFHQRfHQ6fd6qbWT	 Teklo Plasma Pistol	ARC003 – F	ctfBrRwHRnqbHdHLcWdpN	Runechant	ARC112 – F	No		
bdJDJnFHQRfHQ6fd6qbWT	 Teklo Plasma Pistol	ARC003 – F	G7FHRGNdqCD6pGfk9ztLC	Kano	ARC114 – F	No		
bdJDJnFHQRfHQ6fd6qbWT	 Teklo Plasma Pistol	ARC003 – F	MdGhh8KCtJwpwhGHdTHfR	Azalea	ARC039 – F	No		
MRWTgmNwfG7nJhWB7h8CB	 Teklo Plasma Pistol	ARC003 – U	b8FNNbFRCK8ThcWtj6cLK	Runechant	ARC112 – U	No		
MRWTgmNwfG7nJhWB7h8CB	 Teklo Plasma Pistol	ARC003 – U	fnc8WWRBBzK7K9GBf8tQj	Kano	ARC114 – U	No		
MRWTgmNwfG7nJhWB7h8CB	 Teklo Plasma Pistol	ARC003 – U	HGdFkn9r8w7HWjMDwnNdW	Azalea	ARC039 – U	No		
hzMhpBcdGkN7k7kJcqK9D	Azalea, Ace in the Hole	ARC038 – F	MdGhh8KCtJwpwhGHdTHfR	Azalea	ARC039 – F	No		
mT9GftqkrJgKTnffG7WzT	Azalea, Ace in the Hole	ARC038 – U	HGdFkn9r8w7HWjMDwnNdW	Azalea	ARC039 – U	No		
MdGhh8KCtJwpwhGHdTHfR	Azalea	ARC039 – F	QWJdnnhHhCNmwRwjGczrL	Nebula Blade	ARC077 – F	No		
HGdFkn9r8w7HWjMDwnNdW	Azalea	ARC039 – U	77PhWjTBdQz6TztHww8Lt	Nebula Blade	ARC077 – U	No		
LkQ6G69thbCGftgdBLkJm	Death Dealer	ARC040 – F	ctfBrRwHRnqbHdHLcWdpN	Runechant	ARC112 – F	No		
LkQ6G69thbCGftgdBLkJm	Death Dealer	ARC040 – F	TC6zKtzmkQmKFG8rNhWzp	Viserai	ARC076 – F	No		
WJL6WRTMqTnCdJfHqrhDR	Death Dealer	ARC040 – U	b8FNNbFRCK8ThcWtj6cLK	Runechant	ARC112 – U	No		
WJL6WRTMqTnCdJfHqrhDR	Death Dealer	ARC040 – U	WDjPjLDRBpWdwdtJPFNbR	Viserai	ARC076 – U	No		
zQqGMPP8grQWQfQLBLzFC	Viserai, Rune Blood	ARC075 – F	TC6zKtzmkQmKFG8rNhWzp	Viserai	ARC076 – F	No		
88bMw87rFbpQcHQrFWz7p	Viserai, Rune Blood	ARC075 – U	WDjPjLDRBpWdwdtJPFNbR	Viserai	ARC076 – U	No		
TC6zKtzmkQmKFG8rNhWzp	Viserai	ARC076 – F	G7FHRGNdqCD6pGfk9ztLC	Kano	ARC114 – F	No		
TC6zKtzmkQmKFG8rNhWzp	Viserai	ARC076 – F	wcmNtbBPhjnFwPq7RJndM	Crucible of Aetherweave	ARC115 – F	No		
WDjPjLDRBpWdwdtJPFNbR	Viserai	ARC076 – U	fnc8WWRBBzK7K9GBf8tQj	Kano	ARC114 – U	No		
WDjPjLDRBpWdwdtJPFNbR	Viserai	ARC076 – U	6b9cJFLbNMRbcLtpJwTWm	Crucible of Aetherweave	ARC115 – U	No		
QWJdnnhHhCNmwRwjGczrL	Nebula Blade	ARC077 – F	ctfBrRwHRnqbHdHLcWdpN	Runechant	ARC112 – F	No		
QWJdnnhHhCNmwRwjGczrL	Nebula Blade	ARC077 – F	G7FHRGNdqCD6pGfk9ztLC	Kano	ARC114 – F	No		
77PhWjTBdQz6TztHww8Lt	Nebula Blade	ARC077 – U	b8FNNbFRCK8ThcWtj6cLK	Runechant	ARC112 – U	No		
77PhWjTBdQz6TztHww8Lt	Nebula Blade	ARC077 – U	fnc8WWRBBzK7K9GBf8tQj	Kano	ARC114 – U	No		
ctfBrRwHRnqbHdHLcWdpN	Runechant	ARC112 – F	wcmNtbBPhjnFwPq7RJndM	Crucible of Aetherweave	ARC115 – F	No		
b8FNNbFRCK8ThcWtj6cLK	Runechant	ARC112 – U	6b9cJFLbNMRbcLtpJwTWm	Crucible of Aetherweave	ARC115 – U	No		
nmRFpNn6qN8cL8h6tt9jQ	Kano, Dracai of Aether	ARC113 – F	G7FHRGNdqCD6pGfk9ztLC	Kano	ARC114 – F	No		
BPKLhncNz9Wng6t6pnF8g	Kano, Dracai of Aether	ARC113 – U	fnc8WWRBBzK7K9GBf8tQj	Kano	ARC114 – U	No		
KFmzJGL6LWd9Bkqk8MwQj	Bloodrot Pox	AZL028 – N	fKBf6LRnGJcwPnLTzbTJB	Frailty	AZL029 – N	No		
