Unique ID	Card Unique ID	Card Name	Card Pitch	Card ID	Set Printing Unique ID	Set ID	Edition	Rarity	Foiling	Art Variation	Artist	Flavor Text	Image URL	TCGPlayer ID																																							
qkzD8rHMJQ8KfLDnrWqfp	wr9wBtTWwRrPrdhCRHCdN	Rhinar, Reckless Rampage		1HP001	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan		https://storage.googleapis.com/fabmaster/media/images/1HP001.width-450.png																																								
fBn68z7H6kBqLWtPTWhNc	wNRqrHCn6rrKLhrDkqPwp	Rhinar		1HP002	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan		https://storage.googleapis.com/fabmaster/media/images/1HP002.width-450.png																																								
DRmMH66qjjNhPB7TKfLTP	NcQMQ79gb9P7CTMfWfBz8	Kayo, Berserker Runt		1HP003	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi		https://storage.googleapis.com/fabmaster/media/images/1HP003.width-450.png																																								
gFFGW7qBfPNNJbzKCTMhW	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw		1HP004	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi		https://storage.googleapis.com/fabmaster/media/images/1HP004.width-450.png																																								
cjCRT8KwQM9KGgq7CT8H7	PRzqJ97HHdM6f8bLKhGzQ	Mandible Claw		1HP005	rW8hnzQk9DFq89t6Gm9cH	1HP	N	R	S		Jessada Sutthi		https://storage.googleapis.com/fabmaster/media/images/1HP005.width-450.png																																								
gHpDqMrkhCNzt9Nwtwmpt	QT8JfjzmzqRR9MWgtgPLR	Romping Club		1HP006	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Wisnu Tan		https://storage.googleapis.com/fabmaster/media/images/1HP006.width-450.png																																								
pfmzrNTL69LzFtMwLhm7Q	nkCCKCB8ftPdMCHHWHWtk	Scabskin Leathers		1HP007	rW8hnzQk9DFq89t6Gm9cH	1HP	N	L	S		Ksenia Belova		https://storage.googleapis.com/fabmaster/media/images/1HP007.width-450.png																																								
hNhtPTmC9NbwdMnGjcpjd	dLhBfHW9rQGrQHqRrcQqG	Barkbone Strapping		1HP008	rW8hnzQk9DFq89t6Gm9cH	1HP	N	C	S		Ksenia Belova		https://storage.googleapis.com/fabmaster/media/images/1HP008.width-450.png																																								
qPJ7mNFLL7Mwr7MDKbzHW	dQB8pPfdFTDkKJwz9LQbD	Skullhorn		1HP009	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Yolanda Felicia		https://storage.googleapis.com/fabmaster/media/images/1HP009.width-450.png																																								
mwwggPD9k7mkTQLh6hHw8	GgDFFHhLh8Kc7tJK8nBLj	Alpha Rampage	1	1HP010	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Adolfo Navarro		https://storage.googleapis.com/fabmaster/media/images/1HP010.width-450.png																																								
rzfpDwdPpWNNwwp7JJqtf	dHNcBPjwggj8GdFnqbkrD	Beast Within	2	1HP011	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Alexander Mokhov		https://storage.googleapis.com/fabmaster/media/images/1HP011.width-450.png																																								
gDkTfgjmCmWprtMNhjDNf	dGqFDHg9FqzfbDcNcLPtP	Massacre	1	1HP012	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Phu Thieu		https://storage.googleapis.com/fabmaster/media/images/1HP012.width-450.png																																								
fnRzd6KfMrjFdBB8WFtrG	mmtHRdGFhPtwR8LF8tq6p	Reckless Swing	3	1HP013	rW8hnzQk9DFq89t6Gm9cH	1HP	N	M	S		Arif Wijaya		https://storage.googleapis.com/fabmaster/media/images/1HP013.width-450.png																																								
