Unique ID	Name	Color	Pitch	Cost	Power	Defense	Health	Intelligence	Arcane	Types	Traits	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Removed Keywords	Interacts with Keywords	Functional Text	Type Text	Card Played Horizontally	Blitz Legal	CC Legal	Silver Age Legal	Commoner Legal	LL Legal
KjwTjqgwqQpFwcLFCWg6B	Step through Realms	Red	1	2		3				Shadow, Action		Go again						"Your next Shadow attack this turn gets +4{p} and ""When this hits, create a Gate to i'Arathael token.""

**Go again**"	Shadow Action						
8D8gJjzDNmndFzfMGBtTg	Step through Realms	Yellow	2	2		3				Shadow, Action		Go again						"Your next Shadow attack this turn gets +3{p} and ""When this hits, create a Gate to i'Arathael token.""

**Go again**"	Shadow Action						
9BCNPft9bW98j9RrNFHDz	Step through Realms	Blue	3	2		3				Shadow, Action		Go again						"Your next Shadow attack this turn gets +2{p} and ""When this hits, create a Gate to i'Arathael token.""

**Go again**"	Shadow Action						
FM9T9Dg8bj9h9MW7k9HCQ	10,000 Year Reunion	Red	1	8		3				Illusionist, Action, Aura		Ward 10						"You may remove three +1{p} counters from among auras you control rather than pay this card's {r} cost.

**Ward 10**"	Illusionist Action - Aura				No	No	
NWf8zDGMgnph8dnzkmng6	A Bit off the Side	Red	1	0		3				Guardian, Warrior, Action		Go again						"Until end of turn, axes you control get ""When this hits a hero, they discard a card.""

**Go again**"	Guardian / Warrior Action				No	No	
CqNB8MLzfCh6tRP6RRMdj	A Drop in the Ocean	Blue	3	0						Mystic, Instant		Legendary, Transcend						"**Legendary**

Target attack gets -1{p}.

If you've played another blue card this turn, **transcend**."	Mystic Instant						
MJBz8WMNzRWccphkkbMzc	A Good Clean Fight	Red	1	3	7	3				Revered, Action, Attack								If this is attacking a hero, non-equipment cards they own lose and can't gain abilities.	Revered Action - Attack					No	
dFKBHFkn8fDNGmdWktNnJ	A Moment's Peace	Blue	3			2				Warrior, Block								When this defends a sword attack, you can't be attacked by the sword again this turn.	Warrior Block					No	
dTKDHwdcrLNPPb6ktczmR	Absorb in Aether	Red	1	1		4				Wizard, Defense Reaction								The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus 2.	Wizard Defense Reaction					No	
tWKN9zRJdgFmpw6pmPmkR	Absorb in Aether	Yellow	2	1		3				Wizard, Defense Reaction								The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus 2.	Wizard Defense Reaction					No	
WkDkrkTDzRnqWBh7WHJfh	Absorb in Aether	Blue	3	1		2				Wizard, Defense Reaction								The next card you play this turn with an arcane damage effect, instead deals that much arcane damage plus 2.	Wizard Defense Reaction					No	
