Unique ID	Name	Description
77JKJwz6k8BRrGbmRDPTT	Arcane Barrier X	If you would be dealt arcane damage you may pay X{r} instead to prevent X arcane damage that source will deal.
tHNMT9DMtgRNTBrnCjdWq	Attack	
bKgtwKPTzJ69QdFDfm9bR	Battleworn	Equipment that wear down after each time they are used to defend. If you defend with a card with **Battleworn**, put a -1{d} counter on it when the combat chain closes.
cG88qzrJhwLnJH6TJ9cpp	Blade Break	Equipment that are fragile and break after being used to defend. If you defend with a card with **Blade Break**, destroy it when the combat chain closes.
P78nKMjh7Q9rFtgndz8rJ	Blood Debt	**Blood Debt** is a keyword existing on Shadow cards. Shadow cards can inflict a loss of life to access a greater power. At the end of your turn, you lose 1{h} for each **blood debt** card in your banished zone.
wPWTbtBBwWkLhTz7hMrn7	Boost	**Boost* is a Mechanologist mechanic that allows a Mechanologist attack action card to gain go again.
GtFWQhMLPKPBttDFDMnGN	Channel	**Channel** is a keyword that uses Element cards to maintain a powerful aura that requires a larger commitment each turn to maintain the channel.
WBBLK99pg7LTHM8JRNgzg	Charge	**Charge** is a keyword that exist on Light Warrior attacks. This showcases Boltyn's eagerness to engage in battle and **charge** his soul in the process. As an additional cost to playing a card with **charge** you may put a card from your hand into your hero's soul. This would turn on powerful effects that care about if you have **charged** this turn. *You may elect to not pay the additional cost o **charge** - however this would mean you did not **charge**.)*
H6nNm6Nndrp8qTGFJL7GB	Combo	A Ninja mechanic that showcases the power of playing multiple attacks in a perfect sequence. **Combo** cares about the last (most recent previous) attack that was played in the combat chain.
FK8QRGT6GjqFGHLFJTbPT	Contract	When a player is contracted, they are given a set of instructions to complete. If they perform those instructions, they are considered to have completed the contract.
rG7F9GkDcmwNMczRbtwhL	Crush	A Guardian mechanic that showcases the strength of the guardian. When an attack with **crush** deals 4 or more damage to a hero, an effect is applied.
LdpzkhTrrcHJJtLFnctGW	Dominate	An attack that is difficult to defend. Cards with **dominate** cannot be defended with more than 1 card from the defending hero's hand.
rDb7KpRGqJcWP8jRpt78K	Ephemeral	If an ephemeral card would be put into a graveyard from anywhere, instead it ceases to exist.
gj7mqb77bLbHGW6rpNcq9	Essence	**Essence** is a keyword that exists on Elemental hero cards showing what Elements that hero specializes in and what Element cards can be included in the deck.
g6BD6HNFJBRDDdwD9kBWK	Freeze	A **frozen** object can't be played or activated.
