Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Legality Article
MQTLKPtWrbNpRrjjPhzn8	RHnFkKb8FKdFzp9rdzGjF	Viserai		Yes	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
fPzpnpKpJDp86fzN6GpMr	RWwk8hgBdnRdWfjkrfJHt	Nebula Blade		Yes	2022-04-25T00:00:00.000Z	2022-05-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
J6kCKjCtCJn8KtTz6JBkm	TmKrpP8tDg8bmpnqMPtgj	Iyslander		Yes	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-may-2023/
ttNzgfRHpT9Gt8nGdpnGQ	Cd6PTGH6CqTHmt7LQmBMp	Kraken's Aethervein		Yes	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-may-2023/
wdhgfnwTbNgBQRGGgJgdN	hw6qHfWdqQGfRPfKJMgR7	Oldhim		Yes	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-may-2023/
BBhMgmbTr8Wqf789cgwPL	pCdJMzmgBMD8Mt8qhM7nC	Winter's Wail		Yes	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z	https://fabtcg.com/articles/banned-suspended-may-2023/
fcdzL9DnDNpPjKMTJRRNz	mCCnJrJQkqJ7KfqKNHGnc	Chane		Yes	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z	https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
FGhMFPQGDQpKmgm9ztjf6	r8Bq8zBCNdzGPkmMcr6QL	Galaxxi Black		Yes	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z	https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
wCbhWfR8cwmWTGBjfcjg9	Q9B8TDhTdfDLN8ccnBThK	Kano		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
rrDCNwmFmDr6mrjWcQKn7	nzDWrNMqGWgmJfgJhChNb	Crucible of Aetherweave		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
WCFLt7jdNRrL7k8LJ88Lf	wWmP8RJRq7MWk7kBh9q7w	Kassai, Cintari Sellsword		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
nMPBLj9BJdCgdGFGKwFTT	PpwQBBjqmBbgBrKMPbbBr	Cintari Saber		Yes	2023-11-27T00:00:00.000Z	2023-12-01T00:00:00.000Z	https://fabtcg.com/articles/living-legends-iyslander-stormbind-kano-and-kassai-cintari-sellsword/
Fmqtb8NNqPgJpTN88rK6F	GCRQMpBtqBHWrk68GqnGP	Ira, Crimson Haze		Yes	2023-12-05T00:00:00.000Z	2023-12-08T00:00:00.000Z	https://fabtcg.com/articles/living-legend-ira-crimson-haze/
KCmR8rqPwdFFfWnRFz8Gn	FfRMHD8fbLP7FjLJdmbtM	Edge of Autumn		Yes	2023-12-05T00:00:00.000Z	2023-12-08T00:00:00.000Z	https://fabtcg.com/articles/living-legend-ira-crimson-haze/
jJkPwdTJH67frnn6k9MnD	PpwQBBjqmBbgBrKMPbbBr	Cintari Saber		No	2023-12-18T00:00:00.000Z	2024-02-02T00:00:00.000Z	https://fabtcg.com/articles/scheduled-banned-and-restricted-announcement-eoy/
