Unique ID	Set Unique ID	Edition	Start Card Id	End Card Id	Initial Release Date	Out of Print	Card Database	Product Page	Collector's Center	Card Gallery	Release Notes	Set Logo
BhkfQrRQJ7GnQfzztRnwP	fRLqTzrtTt6mhdpGdcCWT	N	1HB001	1HB027	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/bravo-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
q6kjR6mpPBzHjBzrtgNGM	wD6NncrcKDRKnRNqJjPgq	N	1HD001	1HD028	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dash-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
MmdgD8MJHLztJ9LDGbkHC	zHtRgTHMPH7mM8q6p7CTb	N	1HK001	1HK027	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/kano-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
rW8hnzQk9DFq89t6Gm9cH	QpnqjpTwQfwKpmdtd8H6N	N	1HP001	1HP427	2022-05-06T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/history-pack-1/	https://fabtcg.com/products/booster-set/history-pack-1-en/	https://fabtcg.com/collectors-centre/history-pack-1/	https://fabtcg.com/resources/card-galleries/history-pack-1-en-booster/		https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_stacked.original.png
nBNJFJgBczMhcDCKhLcfp	rPLfPFcgRwjLRtWcw79bd	N	1HR001	1HR026	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/rhinar-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
QhNfhKNmgM9FkGbkn6ngc	JDFpMrdk8nnBqcRMcWd6q	N	1HT001	1HT027	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/dorinthea-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
L8dWrCWgChDrbcwLNKKpr	HGDbNN6KpqzWbzWDMHt9G	N	1HV001	1HV027	2023-02-24T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/viserai-blitz-deck/	https://fabtcg.com/articles/history-pack-1-blitz-decks/	https://fabtcg.com/collectors-centre/history-pack-1/			https://dhhim4ltzu1pj.cloudfront.net/media/images/1hp_blitz_logo.original.png
NPjbffBKdhHdPcppbqbbL	zNF9Rtkg998WkCBCgfJQR	N	AAZ001	AAZ032	2024-08-02T00:00:00.000Z		https://cards.fabtcg.com/products/azalea-blitz-deck/	https://fabtcg.com/products/booster-set/armory-deck-azalea/				https://dhhim4ltzu1pj.cloudfront.net/media/images/en_ad_azalea_logo.original.png
FwqNRtTwNgC6Qz6krCwf7	QPwGGk7Tnrtpj7RfD6BJP	N	AIO001	AIO027	2024-10-18T00:00:00.000Z		https://cards.fabtcg.com/products/armory-deck-azalea-ace-in-the-hole/	https://fabtcg.com/products/booster-set/armory-deck-dash/				https://dhhim4ltzu1pj.cloudfront.net/media/images/armory_deck_dash_logo.original.png
cD8qW6NqpwjRqpNRrht6D	NhqdzMMTrtNQdB6DphMGh	N	AJV001	AJV030	2024-11-29T00:00:00.000Z			https://fabtcg.com/en/products/booster-set/armory-deck-origins-jarl-vetreidi/				https://dhhim4ltzu1pj.cloudfront.net/media/images/jarl_logo.original.png
q77LRn8kGwH9TM76kFWNp	HJ8Dqhq7tCwKWFCwkjw86	N	AKO001	AKO028	2024-05-03T00:00:00.000Z		https://cards.fabtcg.com/products/kayo-armory-deck/	https://fabtcg.com/products/booster-set/armory-deck-kayo/		https://fabtcg.com/en/resources/card-galleries/kayo-armory-deck/		https://dhhim4ltzu1pj.cloudfront.net/media/images/armory_deck_kayo_logo.original.png
WcjfRJCbhGChDhr87thKC	7LbfKJbkWGGwFJDWJn8GB	N	ARA001	ARA029	2023-03-24T00:00:00.000Z		https://cards.fabtcg.com/products/arakni-blitz-deck/	https://fabtcg.com/en/products/booster-set/outsiders/outsiders-blitz-decks/	https://fabtcg.com/en/collectors-centre/outsiders/			
fJhkbkJH6WPtr8ztNTcp9	F7brMw6wh6mW98Ln9Hh6f	F	ARC000	ARC218	2020-03-27T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/arcane-rising/	https://fabtcg.com/products/booster-set/arcane-rising/	https://fabtcg.com/collectors-centre/arcane-rising/	https://fabtcg.com/resources/card-galleries/arcane-rising/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/arcane-rising/	https://dhhim4ltzu1pj.cloudfront.net/media/images/ARC.original.png
CwPrBwgWTjRL9kPchD6G7	F7brMw6wh6mW98Ln9Hh6f	U	ARC000	ARC218	2020-11-20T00:00:00.000Z	Yes	https://cards.fabtcg.com/products/arcane-rising-unlimited/	https://fabtcg.com/products/booster-set/arcane-rising-unlimited/	https://fabtcg.com/collectors-centre/arcane-rising/	https://fabtcg.com/resources/card-galleries/arcane-rising-unlimited-booster/	https://fabtcg.com/en/resources/rules-and-policy-center/release-notes/arcane-rising/	https://dhhim4ltzu1pj.cloudfront.net/media/images/ARC.original.png
rjjNJ8JcpGzwbrzmWNTb9	QhLgwK96z8KFMrnWHWD8G	N	ARK007	ARK007	2025-01-31T00:00:00.000Z							
