Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Planned End	Legality Article
pjJNFQtnBNKmzqHrTkwJ7	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Chane becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
7mTNtzTWBNdJ6BcMFmtNg	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Chane becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
WnFzWkRqBJ7JFGfdhjM6W	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Chane becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
CGz6DtmjFBbmDcHGgpBMH	FfHKcc6HWkdkbC76BwgqQ	Snapback	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
p8PGFHcCRgKwhnRLwNtpr	Tb8rJqp6nH9FhDQgNMgpH	Snapback	2	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
w8Rqn8zjtHfGHWGJLwDGk	pBLw878jHjmLBLBbtpk6W	Snapback	3	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
bBLb89dGMFLrQDmfLRWKt	LwghKjpd8Gch7JHrGLMwP	Sonata Arcanix	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
HGbkmkJRwwcLrnLBk6bWL	fMdnz9D9MRDrzMrBFf7Kr	Stir the Aetherwinds	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
DHbccR9JQmLgjqpWnjhdt	nPwjcRFWBmzNQWM6BMcgB	Stir the Aetherwinds	2	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
H8qCjKLNzCfpLMPbTFRQF	k8wMFCFHtGTtTRfnzKGqQ	Stir the Aetherwinds	3	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until the next scheduled announcement following the conclusion of Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
cb9LPpbgPKmqrCDgCLhNB	Lbp8pFhph9wMqMHDw8JWq	Crown of Seeds		Yes	2022-06-24T00:00:00.000Z	2022-07-01T00:00:00.000Z	until the next banned and suspended announcement following Skirmish season 5	https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
WWPP6WRBqF8Hn8njzkDFw	FfHKcc6HWkdkbC76BwgqQ	Snapback	1	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
t9jqd9gNcK78FQc6hjtkQ	Tb8rJqp6nH9FhDQgNMgpH	Snapback	2	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
QGwbGPHC6MBrJgpFLkDrR	pBLw878jHjmLBLBbtpk6W	Snapback	3	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
gKBpJKmpmnfcgQ7Qdgrzc	fMdnz9D9MRDrzMrBFf7Kr	Stir the Aetherwinds	1	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
gfrrgtgGhqCFDK6QfGdKL	nPwjcRFWBmzNQWM6BMcgB	Stir the Aetherwinds	2	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
WC9m87qqgKRC9BDbb77nF	k8wMFCFHtGTtTRfnzKGqQ	Stir the Aetherwinds	3	No	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announced/
rtHnPh6HH8GfBN9PPgh7C	Lbp8pFhph9wMqMHDw8JWq	Crown of Seeds		Yes	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z	until Oldhim becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announced/
fNjLjpPDhGJqQ8QzNNKLt	LwghKjpd8Gch7JHrGLMwP	Sonata Arcanix	1	Yes	2022-08-29T00:00:00.000Z	2022-08-30T00:00:00.000Z	until the next banned and suspended announcement	https://fabtcg.com/articles/scheduled-banned-suspended-announced/
wBjG7ppGk6n9QhhQTwbGP	hpMnhtBmjM7zFBTDMkf87	Storm Striders		Yes	2022-10-03T00:00:00.000Z	2022-10-07T00:00:00.000Z	until the next banned and suspended announcement	https://fabtcg.com/articles/banned-suspended-oct-3/
CMJrNbn8qd6r9zjDdLfnR	LwghKjpd8Gch7JHrGLMwP	Sonata Arcanix	1	No	2022-10-03T00:00:00.000Z	2022-10-07T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-oct-3/
F8Fqwnfpr9HMrb9FDqKmC	jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	1	Yes	2022-11-10T00:00:00.000Z	2022-11-11T00:00:00.000Z	until the next banned and suspended announcement (January 30, 2023)	https://fabtcg.com/articles/banned-suspended-nov-9/
tGDcgPP8Lb6gNLDzR78dq	DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	2	Yes	2022-11-10T00:00:00.000Z	2022-11-11T00:00:00.000Z	until the next banned and suspended announcement (January 30, 2023)	https://fabtcg.com/articles/banned-suspended-nov-9/
6pnw86kWCtTTHRgdRrj8q	PRDqBbn6d9cWtWjMjptKj	Aether Icevein	3	Yes	2022-11-10T00:00:00.000Z	2022-11-11T00:00:00.000Z	until the next banned and suspended announcement (January 30, 2023)	https://fabtcg.com/articles/banned-suspended-nov-9/
CrRBqMMRQqMkcH7H7CrB8	HFwjczQFRKCgTFHdbjdzW	Hypothermia	3	Yes	2022-11-10T00:00:00.000Z	2022-11-11T00:00:00.000Z	until Iyslander becomes Living Legend	https://fabtcg.com/articles/banned-suspended-nov-9/
tzwRQmqDLBFLRPjt6W7Gb	hpMnhtBmjM7zFBTDMkf87	Storm Striders		No	2022-11-10T00:00:00.000Z	2022-11-11T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-nov-9/
GPwRHWq8jrFpWdCP6NJWh	jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	1	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	until the next banned and suspended announcement (March 20, 2023)	https://fabtcg.com/articles/banned-and-suspended-announcement/
dKzBKLcwkHnbmrDrppTjC	DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	2	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	until the next banned and suspended announcement (March 20, 2023)	https://fabtcg.com/articles/banned-and-suspended-announcement/
8NmdMrNhbQgKkKNzWRMjz	PRDqBbn6d9cWtWjMjptKj	Aether Icevein	3	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	until the next banned and suspended announcement (March 20, 2023)	https://fabtcg.com/articles/banned-and-suspended-announcement/
WDFMkQtmdm8DBtCkHNk9b	jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	1	Yes	2023-03-13T00:00:00.000Z	2023-03-13T00:00:00.000Z	until the next banned and suspended announcement (May 4, 2023)	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement/
gMn6pNW98FqRQNPtzJ7dr	DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	2	Yes	2023-03-13T00:00:00.000Z	2023-03-13T00:00:00.000Z	until the next banned and suspended announcement (May 4, 2023)	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement/
8QBLmtBfhBHK6mBNKwtCH	PRDqBbn6d9cWtWjMjptKj	Aether Icevein	3	Yes	2023-03-13T00:00:00.000Z	2023-03-13T00:00:00.000Z	until the next banned and suspended announcement (May 4, 2023)	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement/
8WKkCRNWCnfCbQtmrJ7Jq	jGzKJnCwkjfHhPhRzk7gj	Aether Icevein	1	No	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-may-2023/
WnjFKgm9F7zGFcgj8ggcF	DJDqrcJFQNWHPfPjhQNG8	Aether Icevein	2	No	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-may-2023/
bmKjPkcWDb8mqW9RWJ9LH	PRDqBbn6d9cWtWjMjptKj	Aether Icevein	3	No	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-may-2023/
hwbfrNBj7DcNmKfCTMbmw	Lbp8pFhph9wMqMHDw8JWq	Crown of Seeds		No	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-may-2023/
k7RNzk8wmPrFRkKw8JB9G	HFwjczQFRKCgTFHdbjdzW	Hypothermia	3	No	2023-05-04T00:00:00.000Z	2023-05-05T00:00:00.000Z		https://fabtcg.com/articles/banned-suspended-may-2023/
6Rfz8mJrLGqCQtpkHNkTN	wbTGmgDqLtMmbDgcPzCmJ	Soul Reaping	1	Yes	2023-11-06T00:00:00.000Z	2023-11-06T00:00:00.000Z	until Chane becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-and-suspended-announcement-nov6/
WB7mFP9mh7cTPqHnwdhWW	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	No	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z		https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
b6gJMJHLqMJDH7GfpzzCd	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	No	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z		https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
WcTMqBJQCmk8G66qzBnkn	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	No	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z		https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
hnKHRFth6zFhHFNHjGpCh	wbTGmgDqLtMmbDgcPzCmJ	Soul Reaping	1	No	2023-11-20T00:00:00.000Z	2023-11-24T00:00:00.000Z		https://fabtcg.com/articles/chane-ascends-to-living-to-legend/
