Unique ID	Card Unique ID	Card Name	Card Pitch	Status Active	Date Announced	Date In Effect	Planned End	Legality Article
	nwNfL8wPDtKW9jCFktCBL	Autumn's Touch	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Bravo, Star of the Show becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	pKdGGghdpnBCzrjwPmkPg	Autumn's Touch	2	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Bravo, Star of the Show becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	QqghkNGDQHkGMRGRt8pDr	Autumn's Touch	3	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Bravo, Star of the Show becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	nGHhHDgKmGgb7gjwWjHJF	Bloodsheath Skeleta		Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	until Viserai, Rune Blood becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	 until Chane, Bound by Shadow becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	 until Chane, Bound by Shadow becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	Yes	2022-04-22T00:00:00.000Z	2022-05-02T00:00:00.000Z	 until Chane, Bound by Shadow becomes Living Legend	https://fabtcg.com/articles/scheduled-banned-suspended-announcement/
	nwNfL8wPDtKW9jCFktCBL	Autumn's Touch	1	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	pKdGGghdpnBCzrjwPmkPg	Autumn's Touch	2	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	QqghkNGDQHkGMRGRt8pDr	Autumn's Touch	3	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	bkwMDWGMmKTMd9dKQMt76	Seeds of Agony	1	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	g9ckPjGmpNNkmbgChTQNR	Seeds of Agony	2	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	BnQtggKJtBNmpqKR7NWBH	Seeds of Agony	3	No	2022-06-24T00:00:00.000Z	2022-06-24T00:00:00.000Z		https://fabtcg.com/articles/scheduled-banned-suspended-announcement-june-2022/
	t6MkmHjPRNghmMcMQbqch	Amulet of Ice	3	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	until Iyslander becomes Living Legend	https://fabtcg.com/articles/banned-and-suspended-announcement/
	HfwjczQFRKCgTFHdbjdzW	Hypothermia	3	Yes	2023-01-24T00:00:00.000Z	2023-01-30T00:00:00.000Z	until Iyslander becomes Living Legend	https://fabtcg.com/articles/banned-and-suspended-announcement/
