Unique ID	Name
rTHPJJPwtDCgDfcwPGQGF	1H
Gww6n8bCkqKpnFDpGRLcP	2H
FwdBrBrwHWcPN78TcRCMT	Action
CrdDGWjRqJd7MJqjHtbWc	Adjudicator
RMrgQ7bnBFcJnrWk6NKnw	Affliction
jb97wGkbpTwGMCtQTCjpT	Ally
HgGMr7rWdzLRhckPzQWgW	Angel
Wd89Lr6DnQJqzrhQW9TRj	Arms
6MTGJdkzNnb8hqcWQTLgC	Arrow
NmdcQHj7TwLTbNDBKmtdj	Ash
CFJGmDDqtQCr6MRG88LbC	Assassin
qHmjDmN7LDCHJGjKjdMCM	Attack
mDMr9FKqzmfJdCwNkjRbw	Attack Reaction
7tJLNpqPWnPgzqhMpdjwz	Aura
dJ9Tp8bJWQQc8ndKWP8DK	Axe
zBF7kRDNmDzWMqQkMqgJw	Bard
NnGCkGMQcnkBjHrcQRKHr	Base
FkBpwWG8pfCrNFQGm8dtM	Block
KNJrMrb9HkWffrRC9tK98	Book
6jDWMLHn6jQgr9hKBDT8F	Bow
7HG9GDqGdrtdnTPDgLjRL	Brute
Bp7wdKfgzKBz88hPDPGm6	Chest
9GTzcbqwBqpTpgKgWqPMm	Chi
jTMPmqBz8fWwJdP6W7qff	Claw
NnTDtPCgbNq7GgprgwC7r	Club
HrgTfm7hGrDQ8bLcTpjB9	Construct
RPdWRCcPnQ8K7nDwngnmd	Dagger
Fpr7Gq7zcGDkdcHjNPr8n	Defense Reaction
bpfz7p7r6CLggKRCccT8p	Demi-Hero
kchhNfctqPFht6DFNRWhJ	Demon
dGBzCkJ7FWTFbWmjGbQjT	Draconic
CtWWmwrGBjQWT7B9HtRq9	Dragon
pKLrMNbbrhNwqhBHkbTGC	Earth
QKcmJKbLdCtWkFPrD8nrq	Elemental
NGBgjq76Q7GHNH9P9nHgM	Equipment
hJ7L9WbpPFdjw9hKWN8cP	Evo
JJWPzmkGQhHNMqMn77rkm	Fiddle
QtLkb7CJCKTtgzrn7tb6N	Figment
CGT9kkqBNBgHJtTgWwqLn	Flail
zCCRjbKknh6F9tntDRdLQ	Gem
8HG6FhngNkB8rBT6FTfjw	Generic
9KRj8FQtKGtLCngNCGMdr	Guardian
pGRgW7zBRLQLC9hT9hwBB	Gun
HmrBcLmRWhht6dfKC6dNP	Hammer
7hNgDbPfcWLKzdMkpcfKn	Head
b8G7cnjcNcGLktWj8WLDb	Hero
8Jt7j6JwCjjLMtr8jDQtD	Ice
9dqjFMpC6zTg6cPCzkRn9	Illusionist
RGQzKRLNwRbLFK67DpdhH	Instant
N6jK6rQp8WjRRctf8pFtH	Invocation
PbrQDwRQtwNg7KbHKCTQN	Item
NzWNjQJp8N7TDMtmfGgPR	Landmark
PPC6QtBhhmGJBCnjfbjBg	Legs
KFmTFHkDbF6QGrh6PjLfC	Light
KrCgRB9kHnrpFDBDrqT8B	Lightning
JGjBnHQ7JzFMGdPnRFwRd	Lute
KKLczcLQDgfCnQJjCqRpn	Macro
Bppz9JbPnKhzjMKtNKPDF	Mechanologist
bwTjFPPD6BPQRmzGTMQC8	Mentor
cGdNmJhKfktDTfp8qpbHG	Mercenary
J8QjfW6zKK89wPpprJncb	Merchant
GC7qTwCNRhnM89fNqHGRf	Ninja
fW8KBrG7WdKWRqgQLjpBK	Off-Hand
dqzwT8hJbqChq7btnP7R8	Orb
CK6bh8fzPQnFnn7qMNnhq	Pistol
dpKFPnnBFdfh6gcGGcj99	Placeholder Card
B7GtthGWB6pkK8M9NwWGp	Quiver
6JtD7ktRzGL7k9d7W7fbM	Ranger
zR7c8LwRqgJF6NgmrqHhN	Resource
LgFRWWjCpQ8Bk9BznncWt	Rock
RCTkdzmcK8rfB7wRqtCgT	Royal
bNCJdHthWMNkHGJ8Rc6kP	Runeblade
DTkFqTdJDpGpnmhMCwnnC	Scepter
MMRzw7RhQmHQpbN9MPHTD	Scythe
9kqztjtRn6RkBCHcf9hpJ	Shadow
zkcmP7DQJMrr6Dgg8GBRJ	Shapeshifter
LFkWktbnhfjKm6MFWJJJr	Shuriken
DCzN7qCMFqRDFGN7GGB87	Song
kK6NKKTFHQnmBJFFpFGgT	Staff
j8rMtdHFnFhGrcgC8CdnN	Sword
KwNFJtj8Ft7TgmKqPkP9b	Token
tTjm9CpwRnRdFHzWTG8MW	Trap
KQTDHtfnk7r6BGJwNb7Rh	Warrior
GLtLrRtKJ8HzhBqW8KjJR	Weapon
q9GWTdPwD8QQFtwtRTPTj	Wizard
JcMmPWgPHqTKWJH8LDDHT	Wrench
QPtmrBGhLFbnpFMQznnwH	Young
