Unique ID	Name	Description
77JKJwz6k8BRrGbmRDPTT	Blocage Arcane X	
tHNMT9DMtgRNTBrnCjdWq	Attaque	
bKgtwKPTzJ69QdFDfm9bR	Usure de Guerre	
cG88qzrJhwLnJH6TJ9cpp	Lame Brisée	
wPWTbtBBwWkLhTz7hMrn7	Boostez	
H6nNm6Nndrp8qTGFJL7GB	Combo	
rG7F9GkDcmwNMczRbtwhL	Écrasement	
LdpzkhTrrcHJJtLFnctGW	Dominer	
mmf6BdTtrbCGrhdhg8K9g	Go again	
NdTgddPBhJLhG7HRjqPG6	Intimidez	
TrD8trBHtDqmdKtd9jMWr	Légendaire	
bfRPRwTzzCPNRmNbfhdq7	Optez X	
CMkCBFwkdRTkckLfBwhjL	Rechargez	
BN9pfqWtQjNgCHFrgmNHJ	Reprise	
cjn8CBRWPmdG8fwJNTBJt	Spécialisation	
RnrzPrG6KfnCPhDCF8bpB	Temper	
