Unique ID	Name
FwdBrBrwHWcPN78TcRCMT	Aktion
Wd89Lr6DnQJqzrhQW9TRj	Arme
6MTGJdkzNnb8hqcWQTLgC	Pfeilattacke
qHmjDmN7LDCHJGjKjdMCM	Attacke
mDMr9FKqzmfJdCwNkjRbw	Attackenreaktion
7tJLNpqPWnPgzqhMpdjwz	Aura
6jDWMLHn6jQgr9hKBDT8F	Bogen
7HG9GDqGdrtdnTPDgLjRL	Wüstling
Bp7wdKfgzKBz88hPDPGm6	Brust
jTMPmqBz8fWwJdP6W7qff	Klaue
NnTDtPCgbNq7GgprgwC7r	Keule
RPdWRCcPnQ8K7nDwngnmd	Dolch
Fpr7Gq7zcGDkdcHjNPr8n	Verteidigungsreaktion
NGBgjq76Q7GHNH9P9nHgM	Ausrüstung
zCCRjbKknh6F9tntDRdLQ	Edelstein
8HG6FhngNkB8rBT6FTfjw	Allgemein
9KRj8FQtKGtLCngNCGMdr	Gardien
pGRgW7zBRLQLC9hT9hwBB	Schusswaffe
HmrBcLmRWhht6dfKC6dNP	Marteau
7hNgDbPfcWLKzdMkpcfKn	Kopf
b8G7cnjcNcGLktWj8WLDb	Held
RGQzKRLNwRbLFK67DpdhH	Sofort
PbrQDwRQtwNg7KbHKCTQN	Objekt
PPC6QtBhhmGJBCnjfbjBg	Beine
Bppz9JbPnKhzjMKtNKPDF	Mechanologisch
J8QjfW6zKK89wPpprJncb	Händler
GC7qTwCNRhnM89fNqHGRf	Ninja
CK6bh8fzPQnFnn7qMNnhq	Pistole
6JtD7ktRzGL7k9d7W7fbM	Waldläufer
zR7c8LwRqgJF6NgmrqHhN	Ressource
bNCJdHthWMNkHGJ8Rc6kP	Runenklinge
kK6NKKTFHQnmBJFFpFGgT	Stab
j8rMtdHFnFhGrcgC8CdnN	Schwert
KwNFJtj8Ft7TgmKqPkP9b	Token
KQTDHtfnk7r6BGJwNb7Rh	Krieger
GLtLrRtKJ8HzhBqW8KjJR	Waffe
q9GWTdPwD8QQFtwtRTPTj	Zauberer
QPtmrBGhLFbnpFMQznnwH	Jung
rTHPJJPwtDCgDfcwPGQGF	1H
Gww6n8bCkqKpnFDpGRLcP	2H
