Name	Description
(1H)	A subtype of a weapon object that occupies one weapon zone. (See Rule 8.2.1)
(2H)	A subtype of a weapon object that occupies two weapon zones. (See Rule 8.2.2)
Ability	An object property that generates effects that influence the game. Abilities are either activated abilities, resolution abilities or static abilities. (See Section 1.7 - Abilities)
Ability Keyword	A keyword that substitutes for the rules text of an ability; often accompanied by reminder text. (See Rule 8.0.3 and Section 8.3 - Ability Keywords)
Action	A type of object or activated ability that can only be played or activated as layer 1 of the stack by the turn player when they have priority, and costs an action point to play or activate. (See Rule 8.1.1)
Action Phase	The second part of a turn, where players are given priority to play cards and activate abilities. (See Section 4.3 - Action Phase)
Action Point	An asset used to pay for the cost of playing an action card or activating an action activated ability. Action points can only be gained by the turn player. (See Rule 1.13.2)
Activated Ability	An ability that can be activated to put a layer on the stack, which generates effects when it resolves. (See Section 5.2 - Activated Abilities)
Activated-Layer	A layer object on the stack created by the activation of an activated ability. (See Rule 1.6.1b)
Active Player	The player who currently has priority, allowing them to play cards and activate abilities. (See Section 1.11 - Priority)
Additional Cost	ability: A meta-static ability that adds a cost to playing a card. (See Rule 5.4.4a) phrase: An effect that adds a cost to playing a card. (See Rule 5.1.3)
Aether Ashwing	An draconic illusionist dragon ally token. (See Rule 8.6.15)
Afflication	A subtype of object that enters the arena under the control of an opponent. (See Rule 8.2.11)
Ally	A subtype of object that is an independent attacker and/or defender during combat, and resets its life at the end of turn. (See Rule 8.2.8)
Alternative Cost	A meta-static ability that replaces the resource cost of playing a card with a different cost. (See Rule 5.4.4b)
Arcane Barrier	An ability keyword that allows the player to prevent arcane damage to their hero by paying resources. (See Rule 8.3.8)
Arcane Damage	A specific type of damage, dealt by effects. (See Rule 8.5.3e)
Arena	The collective term for of the all Arms, Combat Chain, Chest, Head, Hero, Legs, Permanent, and Weapon zones. (See Rule 3.0.5)
Arms	subtype: A non-functional subtype of equipment that represents an item of armwear and occupies an arms zone. (See Section 2.9 - Subtypes) zone: A public zone owned by a player that contains up to one card with the subtype arms. (See Section 3.1 - Arms)
Arrow	A subtype that can only be played from arsenal and only when the player controls a bow. (See Rule 8.2.6)
Arsenal	A private zone owned by a player from which cards can be played from. (See Section 3.2 - Arsenal)
Ash	A draconic illusionist ash token. (See Rule 8.6.14)
Attack	combat: An activated attack or card with the subtype attack, used to initiate combat. (See Rule 7.0.2) effect: A special resolution ability that determines the layer as an attack. (See Rule 8.3.1) object identity: A term used by effects to refer to an activated attack or card with the subtype attack by its object identity. (See Rule 1.2.4) subtype: A subtype of object that initiates combat and becomes a chain link on the combat chain. (See Rule 8.2.3)
Attack-Layer	An attack action card on the stack, or an activated-layer or triggered-layer withcan attack ability. (See Rule 1.6.2)
Attack Reaction	A type of card or activated ability that can only be played or activated by an attacking hero during the reaction step of combat. (See Rule 8.1.2)
Attack Step	The step of combat after the Layer Step, where the attack becomes a chain link on the combat chain. Followed by the Defend Step. (See Section 7.2 - Attack Step)
Aura	A subtype that becomes a permanent in the arena when it resolves or otherwise enters the arena. (See Rule 8.2.4)
Banish	An effect keyword that means to move a card to the owner’s banished zone. (See Rule 8.5.1)
Banished Zone	A public zone where cards that are banished are moved to. (See Section 3.3 - Banished)
Base	The original value of a property for an object when it was created, which can be modified by effects that specifically modify base values.
Battleworn	An ability keyword on equipment that accumulates −1 {d} counters after it is used to defend. (See Rule 8.3.2)
Become	An effect that causes the properties of an object to defined by a specification or another object. (See Rule 8.5.22)
Blade Break	An ability keyword on equipment that destroys it after it is used to defend. (See Rule 8.3.3)
Blasmophet, the Soul Harvester	A shadow demon ally token. (See Rule 8.6.6)
Blood Debt	An ability keyword on a card that causes the player to lose life at the end of the turn if the card is in the banished zone. (See Rule 8.3.11)
Boost	An ability keyword that gives the card the optional additional cost of banishing the top card of the deck. If the banished card is a Mechanologist card, the played card gains go again. (See Rule 8.3.9)
Card	An entity with properties, represented by an official Flesh and Blood card. (See Section 1.3 - Cards)
Card-Layer	A card as a unresolved layer on the stack. (See Rule 1.6.1a)
Chain Link	A subsection of the combat chain zone that contains cards and tokens relating to a specific attack. (See Rule 3.5.4)
Chain Link Resolution	The resolution of an attack as a chain link during the resolution step of combat. (See Section 7.6 - Resolution Step)
Channel	A label keyword, with a triggered ability that destroys its source if the controlling player does put the specified cards at the bottom of their deck at the end of their turn. (See Rule 8.4.4)
Charge	An effect keyword that means to put a card from the player’s hand into their hero’s soul. (See Rule 8.5.26)
Chest	subtype: A subtype of equipment that represents an item of clothing and occupies a chest zone. (See Section 2.9 - Subtypes) zone: A public zone owned by a player that contains up to one card with the subtype chest. (See Section 3.4 - Chest)
Class	A category of supertype keywords that represents a hero’s profession. (See Rule 2.10.6a)
Clear	A process that involves moving objects to the graveyard. (See Rule 3.0.12)
