Unique ID	Name	Description
77JKJwz6k8BRrGbmRDPTT	Barriera Arcana X	
tHNMT9DMtgRNTBrnCjdWq	Attacco	
bKgtwKPTzJ69QdFDfm9bR	Consumato in battaglia	
cG88qzrJhwLnJH6TJ9cpp	L'arma si spezza	
wPWTbtBBwWkLhTz7hMrn7	Potenzia	
H6nNm6Nndrp8qTGFJL7GB	Combo	
rG7F9GkDcmwNMczRbtwhL	Schianta	
LdpzkhTrrcHJJtLFnctGW	Domina	
mmf6BdTtrbCGrhdhg8K9g	Continua	
NdTgddPBhJLhG7HRjqPG6	Intimidisci	
TrD8trBHtDqmdKtd9jMWr	Leggendaria	
bfRPRwTzzCPNRmNbfhdq7	Opta X	
CMkCBFwkdRTkckLfBwhjL	Rechargez	
BN9pfqWtQjNgCHFrgmNHJ	Ricarica	
cjn8CBRWPmdG8fwJNTBJt	Specializzazione	
RnrzPrG6KfnCPhDCF8bpB	Tempra	
