Unique ID	Name
FwdBrBrwHWcPN78TcRCMT	Azione
Wd89Lr6DnQJqzrhQW9TRj	Braccia
6MTGJdkzNnb8hqcWQTLgC	Freccia
qHmjDmN7LDCHJGjKjdMCM	Attacco
mDMr9FKqzmfJdCwNkjRbw	Reazione d'attacco
7tJLNpqPWnPgzqhMpdjwz	Aura
6jDWMLHn6jQgr9hKBDT8F	Arco
7HG9GDqGdrtdnTPDgLjRL	Bruto
Bp7wdKfgzKBz88hPDPGm6	Torace
jTMPmqBz8fWwJdP6W7qff	Artiglio
NnTDtPCgbNq7GgprgwC7r	Bastone
RPdWRCcPnQ8K7nDwngnmd	Pugnale
Fpr7Gq7zcGDkdcHjNPr8n	Reazione difensiva
NGBgjq76Q7GHNH9P9nHgM	Equipaggiamento
zCCRjbKknh6F9tntDRdLQ	Gemma
8HG6FhngNkB8rBT6FTfjw	Generica
9KRj8FQtKGtLCngNCGMdr	Guardiano
pGRgW7zBRLQLC9hT9hwBB	Pistola
HmrBcLmRWhht6dfKC6dNP	Martello
7hNgDbPfcWLKzdMkpcfKn	Testa
b8G7cnjcNcGLktWj8WLDb	Eroe
RGQzKRLNwRbLFK67DpdhH	Istantanea
PbrQDwRQtwNg7KbHKCTQN	Oggetto
PPC6QtBhhmGJBCnjfbjBg	Gambe
Bppz9JbPnKhzjMKtNKPDF	Meccanologo
J8QjfW6zKK89wPpprJncb	Mercante
GC7qTwCNRhnM89fNqHGRf	Ninja
CK6bh8fzPQnFnn7qMNnhq	Pistola
6JtD7ktRzGL7k9d7W7fbM	Ranger
zR7c8LwRqgJF6NgmrqHhN	Risorsa
bNCJdHthWMNkHGJ8Rc6kP	Lama Runica
kK6NKKTFHQnmBJFFpFGgT	Bastone
j8rMtdHFnFhGrcgC8CdnN	Spada
KwNFJtj8Ft7TgmKqPkP9b	Pedina
KQTDHtfnk7r6BGJwNb7Rh	Guerriero
GLtLrRtKJ8HzhBqW8KjJR	Arma
q9GWTdPwD8QQFtwtRTPTj	Mago
QPtmrBGhLFbnpFMQznnwH	Giovane
rTHPJJPwtDCgDfcwPGQGF	1H
Gww6n8bCkqKpnFDpGRLcP	2H
