Identifier	Name	Editions	Initial Release Dates	Out of Print Dates	Start Card Id	End Card Id	Product Pages	Collector’s Centers	Card Galleries
FAB	Promos	N	null	null	FAB001	FAB094	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
HER	Hero Card Promos	N	null	null	HER000	HER067	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
JDG	Judge Unique Promos	N	null	null	JDG001	JDG002	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
LGS	Local Game Store Promos	N	null	null	LGS001	LGS106	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
LSS	LSS Promos	N	null	null	LSS001	LSS005	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
OXO	Slingshot Underground Promos	N	null	null	OXO001	OXO004	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
WIN	Worlds / Pro Tour Prize Cards	N	null	null	WIN001	WIN019	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
XXX	OP Event Tokens	N	null	null	XXX001	XXX012	null	https://fabtcg.com/collectors-centre/promos-and-extras/	null
BOL	Boltyn Blitz Deck	N	2021-05-07T00:00:00.000Z	null	BOL001	BOL030	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/boltyn-blitz-deck/
BRI	Briar Blitz Deck	N	2021-11-24T00:00:00.000Z	null	BRI001	BRI031	https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/briar-blitz-deck/
BVO	Bravo Hero Deck	N	2019-10-11T00:00:00.000Z	2019-10-11T00:00:00.000Z	BVO001	BVO029	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/bravo-hero-deck/
CHN	Chane Blitz Deck	N	2021-05-07T00:00:00.000Z	null	CHN001	CHN030	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/chane-blitz-deck/
IRA	Ira Welcome Deck	N	2019-08-31T00:00:00.000Z	null	IRA001	IRA012	https://fabtcg.com/products/learn-play/welcome-deck-2019/	https://fabtcg.com/collectors-centre/ira-welcome-deck/	https://fabtcg.com/resources/card-galleries/welcome-deck-2019/
KSU	Katsu Hero Deck	N	2019-10-11T00:00:00.000Z	2019-10-11T00:00:00.000Z	KSU001	KSU030	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/katsu-hero-deck/
LEV	Levia Blitz Deck	N	2021-05-07T00:00:00.000Z	null	LEV001	LEV029	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/levia-blitz-deck/
LXI	Lexi Blitz Deck	N	2021-11-24T00:00:00.000Z	null	LXI001	LXI030	https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/lexi-blitz-deck/
OLD	Oldhim Blitz Deck	N	2021-11-24T00:00:00.000Z	null	OLD001	OLD032	https://fabtcg.com/products/booster-set/tales-aria-blitz-decks/	https://fabtcg.com/collectors-centre/tales-of-aria/	https://fabtcg.com/resources/card-galleries/tales-aria/oldhim-blitz-deck/
PSM	Prism Blitz Deck	N	2021-05-07T00:00:00.000Z	null	PSM001	PSM030	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/	https://fabtcg.com/collectors-centre/monarch/	https://fabtcg.com/products/booster-set/monarch/monarch-blitz-decks/prism-blitz-deck/
RNR	Rhinar Hero Deck	N	2019-10-11T00:00:00.000Z	2019-10-11T00:00:00.000Z	RNR001	RNR031	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/rhinar-hero-deck/
TEA	Dorinthea Hero Deck	N	2019-10-11T00:00:00.000Z	2019-10-11T00:00:00.000Z	TEA001	TEA030	https://fabtcg.com/products/booster-set/welcome-rathe/wtr-hero-decks/	https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/dorinthea-hero-deck/
DVR	Classic Battles: Rhinar vs Dorinthea – Dorinthea	N	2022-05-27T00:00:00.000Z	null	DVR001	DVR028	https://fabtcg.com/products/booster-set/classic-battles-rvd/	null	https://fabtcg.com/resources/card-galleries/classic-battles-rhinar-vs-dorinthea/
RVD	Classic Battles: Rhinar vs Dorinthea – Rhinar	N	2022-05-27T00:00:00.000Z	null	RVD001	RVD027	https://fabtcg.com/products/booster-set/classic-battles-rvd/	null	https://fabtcg.com/resources/card-galleries/classic-battles-rhinar-vs-dorinthea/
1HP	History Pack 1	N	2022-05-06T00:00:00.000Z	null	1HP001	1HP427	https://fabtcg.com/products/booster-set/history-pack-1-en/	https://fabtcg.com/collectors-centre/history-pack-1/	https://fabtcg.com/resources/card-galleries/history-pack-1-en-booster/
WTR	Welcome to Rathe	A, U	2019-10-11T00:00:00.000Z, 2020-11-06T00:00:00.000Z	2019-10-11T00:00:00.000Z, 2021-12-01T00:00:00.000Z	WTR000	WTR225	https://fabtcg.com/products/booster-set/welcome-rathe/, https://fabtcg.com/products/booster-set/welcome-rathe-unlimited/	https://fabtcg.com/collectors-centre/welcome-rathe/, https://fabtcg.com/collectors-centre/welcome-rathe/	https://fabtcg.com/resources/card-galleries/welcome-rathe-booster/, https://fabtcg.com/resources/card-galleries/welcome-rathe-unlimited-booster/
ARC	Arcane Rising	F, U	2020-03-27T00:00:00.000Z, 2020-11-20T00:00:00.000Z	2020-03-27T00:00:00.000Z, 2021-11-11T00:00:00.000Z	ARC000	ARC218	https://fabtcg.com/products/booster-set/arcane-rising/, https://fabtcg.com/products/booster-set/arcane-rising-unlimited/	https://fabtcg.com/collectors-centre/arcane-rising/, https://fabtcg.com/collectors-centre/arcane-rising/	https://fabtcg.com/resources/card-galleries/arcane-rising/, https://fabtcg.com/resources/card-galleries/arcane-rising-unlimited-booster/
CRU	Crucible of War	F, U	2020-08-28T00:00:00.000Z, 2021-06-30T00:00:00.000Z	2020-08-28T00:00:00.000Z, 2021-10-13T00:00:00.000Z	CRU000	CRU197	https://fabtcg.com/products/booster-set/crucible-war/, https://fabtcg.com/products/booster-set/crucible-war-unlimited/	https://fabtcg.com/collectors-centre/crucible-of-war/, https://fabtcg.com/collectors-centre/crucible-of-war/	https://fabtcg.com/resources/card-galleries/crucible-war-booster/, https://fabtcg.com/resources/card-galleries/crucible-war-unlimited/
