Unique ID	Name	Description
77JKJwz6k8BRrGbmRDPTT	Barrera arcana 2	
tHNMT9DMtgRNTBrnCjdWq	Atacar	
bKgtwKPTzJ69QdFDfm9bR	Desgaste de batalla	
cG88qzrJhwLnJH6TJ9cpp	Rotura de espada	
wPWTbtBBwWkLhTz7hMrn7	Potenciar	
H6nNm6Nndrp8qTGFJL7GB	Combo	
rG7F9GkDcmwNMczRbtwhL	Aplastar	
LdpzkhTrrcHJJtLFnctGW	Dominar	
mmf6BdTtrbCGrhdhg8K9g	Continuar	
NdTgddPBhJLhG7HRjqPG6	Intimidar	
TrD8trBHtDqmdKtd9jMWr	Legendario	
bfRPRwTzzCPNRmNbfhdq7	Opta X	
CMkCBFwkdRTkckLfBwhjL	Recargar	
BN9pfqWtQjNgCHFrgmNHJ	Vuelta	
cjn8CBRWPmdG8fwJNTBJt	Especialización	
RnrzPrG6KfnCPhDCF8bpB	Carácter	
